AnimalID,Name,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,class
A718793,Flint,,Cat,Neutered Male,12 years,Siamese Mix,Chocolate Point,Adoption
A679946,,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Yellow,Adoption
A713768,Hank,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Brown,Adoption
A687412,Penny,,Dog,Spayed Female,4 months,Labrador Retriever Mix,Black,Adoption
A705112,Nina,,Dog,Intact Female,3 years,Basset Hound Mix,White/Black,Return_to_owner
A710177,Joseph,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White,Adoption
A680379,,Foster,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Brown Tabby/White,Adoption
A691196,Possum,Partner,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A697462,Boko,,Dog,Neutered Male,4 years,Chihuahua Shorthair/Beagle,Black Brindle/White,Adoption
A669399,Sugar,,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White,Return_to_owner
A683333,Libby,,Dog,Spayed Female,2 years,Pit Bull Mix,White/Tan,Adoption
A681216,Darby,,Dog,Spayed Female,3 months,Labrador Retriever/Catahoula,Brown Brindle/White,Adoption
A703267,,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Tortie/White,Transfer
A712861,Ajax,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White,Transfer
A717005,Thumper,,Dog,Intact Male,2 years,Miniature Poodle Mix,White,Return_to_owner
A684216,,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Chocolate/Brown Brindle,Adoption
A673734,Norman,,Dog,Neutered Male,4 years,Norfolk Terrier Mix,Buff,Adoption
A691070,,SCRP,Cat,Intact Male,7 months,Domestic Shorthair Mix,Orange Tabby,Transfer
A694715,,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black,Transfer
A692659,,Suffering,Cat,Spayed Female,10 years,Domestic Shorthair Mix,White/Brown Tabby,Euthanasia
A679157,,Foster,Dog,Neutered Male,1 month,Labrador Retriever/German Shepherd,Cream/White,Adoption
A717502,Tilly,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown,Adoption
A701143,,Suffering,Cat,Intact Male,5 years,Siamese Mix,Chocolate Point,Euthanasia
A687643,,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Blue Tabby/White,Transfer
A716348,,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby,Transfer
A686803,Rupert,,Dog,Neutered Male,3 months,Dachshund Mix,Red/White,Adoption
A681287,Birdie,Partner,Dog,Spayed Female,3 months,Australian Cattle Dog/Labrador Retriever,Tan/White,Transfer
A665445,Max,,Dog,Neutered Male,4 months,Labrador Retriever Mix,Brown/Black,Adoption
A670172,,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico,Adoption
A555446,Boo,,Dog,Neutered Male,5 years,Rat Terrier Mix,Brown/White,Adoption
A698581,Lucky,Suffering,Dog,Neutered Male,4 years,Toy Fox Terrier Mix,Brown/Black,Euthanasia
A671512,Dipper,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Brown,Adoption
A671890,Buster,Foster,Dog,Neutered Male,4 years,Smooth Fox Terrier Mix,White/Brown,Adoption
A673258,Ares,,Dog,Spayed Female,4 months,Pit Bull Mix,Tan/White,Adoption
A670769,Steve,,Dog,Neutered Male,2 years,Chihuahua Shorthair/Cardigan Welsh Corgi,Tricolor,Adoption
A688506,Cane,,Dog,Neutered Male,1 year,Dogo Argentino Mix,White,Adoption
A669271,,,Dog,Spayed Female,2 months,Labrador Retriever/Pit Bull,Brown Brindle/White,Adoption
A665970,Poppy,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/Black,Transfer
A597414,Shiner,,Dog,Neutered Male,5 years,Plott Hound,Black Brindle,Adoption
A672462,George,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black,Transfer
A665911,Oliver,,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,Adoption
A703387,Jack,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,Adoption
A705252,Doogie,Partner,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Brown Brindle,Transfer
A672144,,Partner,Dog,Neutered Male,6 months,Dachshund Longhair Mix,Tan,Transfer
A626966,Buster,,Dog,Neutered Male,3 years,Miniature Pinscher Mix,Black/Tan,Return_to_owner
A692985,Asia,,Dog,Spayed Female,10 years,Labrador Retriever Mix,White,Return_to_owner
A688068,,SCRP,Cat,Intact Female,5 months,Domestic Shorthair Mix,Brown Tabby,Transfer
A708636,Flip,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue,Adoption
A697150,,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Cream Tabby,Transfer
A689682,Magnus,,Dog,Neutered Male,1 year,Dachshund Longhair/Pembroke Welsh Corgi,Red,Adoption
A707272,,,Dog,Intact Female,1 year,German Shepherd Mix,Brown/Black,Return_to_owner
A714344,Jemma,Partner,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black/White,Transfer
A719788,Hicks,,Dog,Neutered Male,1 year,Pit Bull Mix,Blue,Adoption
A678673,Jamie,Partner,Cat,Unknown,1 month,Domestic Shorthair Mix,Black,Transfer
A692718,Lucy,,Dog,Spayed Female,6 years,Pit Bull Mix,Brown/White,Return_to_owner
A706767,Cam,In Kennel,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Black,Died
A686804,Buster,Partner,Dog,Neutered Male,5 months,Dachshund Mix,Red/White,Transfer
A676154,Harvey,Partner,Dog,Intact Male,6 months,Pit Bull/Weimaraner,Brown/White,Transfer
A710387,Bandit,,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Brown Tabby,Adoption
A688904,Flicker,Partner,Dog,Spayed Female,1 year,German Shepherd Mix,Tan/White,Transfer
A695292,Avery,,Dog,Neutered Male,7 years,Bichon Frise Mix,White,Return_to_owner
A531598,Rocky,,Dog,Neutered Male,6 years,Border Collie,Black/White,Return_to_owner
A688461,,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Tan,Adoption
A683242,Gill,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue/White,Return_to_owner
A706609,Griffin,Partner,Dog,Intact Male,2 months,Australian Shepherd Mix,Red/Black,Transfer
A717152,,Partner,Dog,Intact Male,1 month,German Shepherd Mix,Tricolor,Transfer
A660641,Shadow,,Dog,Neutered Male,6 months,Catahoula Mix,Blue Merle/Tan,Adoption
A716088,,Medical,Cat,Intact Male,6 months,Domestic Shorthair Mix,Brown Tabby,Euthanasia
A683733,,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black/White,Transfer
A679227,Bo,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Yellow,Return_to_owner
A679357,,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black/White,Transfer
A695306,Mr. Peabody,Partner,Dog,Neutered Male,1 year,Shih Tzu Mix,White/Tan,Transfer
A555012,Jeremiah,,Dog,Neutered Male,9 years,Pit Bull Mix,Red,Adoption
A707394,,,Dog,Spayed Female,2 months,Border Collie/Great Pyrenees,Black/White,Adoption
A709315,,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,Transfer
A705383,London,,Dog,Spayed Female,5 months,Cocker Spaniel/Chihuahua Longhair,Buff,Adoption
A709074,,In Kennel,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Blue Tabby/White,Died
A698707,Rocky,,Dog,Neutered Male,4 years,Dachshund Mix,Sable/White,Adoption
A710640,,SCRP,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Orange Tabby/White,Transfer
A708956,,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A682045,,Partner,Dog,Spayed Female,9 years,Boston Terrier Mix,Black/White,Transfer
A679375,Sarah,,Dog,Spayed Female,5 years,Shetland Sheepdog Mix,Tricolor/Black,Return_to_owner
A686802,Ace,,Dog,Neutered Male,8 months,Siberian Husky Mix,Black/White,Return_to_owner
A594497,Chikis,,Dog,Spayed Female,3 years,Miniature Poodle Mix,White,Return_to_owner
A705807,,Partner,Dog,Intact Male,2 months,Labrador Retriever Mix,Black/White,Transfer
A689896,Miles,,Dog,Neutered Male,3 years,Akita Mix,Black/Tan,Adoption
A700819,,Partner,Dog,Spayed Female,13 years,Miniature Poodle Mix,White,Transfer
A674785,Millie,Foster,Dog,Spayed Female,1 month,Chihuahua Shorthair/Dachshund Wirehair,Black,Adoption
A680924,,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black,Transfer
A686582,Socks,Partner,Dog,Intact Female,2 years,Pit Bull Mix,Black/White,Transfer
A675345,,,Dog,Neutered Male,2 years,Dachshund Mix,Blue/White,Adoption
A686942,,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,Adoption
A661682,,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Calico,Adoption
A673674,,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,White,Transfer
A605420,Lucy,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Red,Adoption
A674902,,Suffering,Dog,Intact Female,5 months,Pointer/Australian Cattle Dog,White/Brown,Euthanasia
A674007,,Partner,Dog,Intact Female,4 months,Pit Bull Mix,Chocolate/White,Transfer
A683523,,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White,Transfer
A678068,,Partner,Dog,Neutered Male,2 years,Cairn Terrier Mix,Brown,Transfer
A712988,Bella,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,Adoption
A714108,,SCRP,Cat,Unknown,3 months,Domestic Shorthair Mix,Black,Transfer
A687997,Otter,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White,Transfer
A676309,Snickers,Partner,Dog,Intact Male,7 years,Labrador Retriever Mix,Brown,Transfer
A696259,Carson,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,Adoption
A671334,Mowgli,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby,Transfer
A675467,,,Cat,Unknown,1 year,Domestic Shorthair Mix,White,Died
A685487,Dexter,,Dog,Neutered Male,3 years,Akita/Australian Cattle Dog,Brown Brindle,Adoption
A677276,,,Dog,Spayed Female,8 months,Shetland Sheepdog/Chihuahua Longhair,Brown Brindle,Adoption
A717278,Frisky,,Dog,Neutered Male,9 years,Maltese Mix,White,Adoption
A683383,Shelly,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,White/Black,Transfer
A685601,Hank,,Dog,Neutered Male,3 months,Cairn Terrier Mix,Tan/Black,Adoption
A719677,Buda,Partner,Dog,Intact Male,3 years,Dachshund Mix,Red,Transfer
A663913,Maui,,Dog,Spayed Female,5 months,German Shepherd/Collie Rough,Black/Brown,Adoption
A670230,G Money,,Dog,Intact Male,9 months,Pit Bull Mix,Black Brindle,Return_to_owner
A600766,Sgt Finley,,Dog,Neutered Male,8 years,Great Pyrenees,White/Gray,Return_to_owner
A678286,Annie,Foster,Dog,Spayed Female,1 month,Chihuahua Shorthair/Cairn Terrier,Black,Adoption
A720003,Johnny B,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Buff,Return_to_owner
A687803,Ike,,Dog,Neutered Male,2 months,Australian Shepherd Mix,Blue Merle/White,Adoption
A693641,,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,White/Tan,Adoption
A693743,Tucker,,Dog,Neutered Male,4 years,Rhod Ridgeback Mix,Tan,Return_to_owner
A664060,Raisin,,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Tortie,Return_to_owner
A709874,,,Dog,Neutered Male,1 year,Siberian Husky Mix,Gray/Brown,Adoption
A706326,Mily,,Dog,Spayed Female,1 year,Rat Terrier Mix,Brown,Adoption
A678701,Jamocha,,Cat,Neutered Male,4 months,Domestic Medium Hair Mix,Black,Adoption
A621306,Django,,Dog,Neutered Male,6 years,German Shepherd,Sable,Adoption
A668402,,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black,Transfer
A665159,Skipper,,Dog,Neutered Male,3 years,German Shepherd Mix,Sable,Return_to_owner
A698837,Nora,Foster,Cat,Intact Female,2 months,Siamese Mix,Seal Point,Adoption
A717686,,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black/White,Transfer
A697252,Big Mac,,Dog,Neutered Male,1 year,Miniature Poodle Mix,White,Adoption
A678907,Tyron,Foster,Dog,Neutered Male,1 month,Labrador Retriever/Australian Shepherd,Tricolor,Adoption
A675725,Rosie,Foster,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Tortie/Blue Cream,Adoption
A696064,Petey,,Dog,Neutered Male,10 years,Jack Russell Terrier Mix,White/Brown,Return_to_owner
A688434,Roxy,Partner,Dog,Spayed Female,2 years,Labrador Retriever Mix,Red,Transfer
A692509,,Partner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/White,Transfer
A720614,,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Tan,Adoption
A712073,Ruger,Foster,Dog,Neutered Male,1 year,Australian Cattle Dog/Pointer,Red Tick,Adoption
A686765,Mia,Partner,Dog,Spayed Female,8 months,Chihuahua Shorthair Mix,Brown,Transfer
A669160,Princess,,Cat,Spayed Female,9 months,Domestic Shorthair Mix,White/Gray Tabby,Adoption
A718295,Chewy,,Dog,Neutered Male,1 year,German Shepherd Mix,Sable,Adoption
A671135,,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie,Transfer
A649065,Coco,,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Brown/White,Adoption
A716274,Sarah,,Dog,Spayed Female,1 year,Boxer Mix,Tricolor,Adoption
A687582,Foxy,Foster,Dog,Spayed Female,8 months,Labrador Retriever Mix,Black,Adoption
A680460,Nod,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,Adoption
A668708,Bob,,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby/White,Adoption
A676967,Sherman,,Dog,Neutered Male,14 years,Australian Cattle Dog Mix,Cream,Return_to_owner
A664593,Chiquilla,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/White,Adoption
A704100,,Partner,Dog,Intact Female,1 week,Pit Bull Mix,White,Transfer
A677488,,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A691453,Toby,Foster,Dog,Neutered Male,6 years,Pit Bull Mix,Black Brindle/White,Adoption
A707523,,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Brown,Transfer
A674197,Buddy,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Chocolate,Return_to_owner
A717169,Chichi,,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Brown/White,Return_to_owner
A695786,,,Cat,Neutered Male,4 months,Domestic Shorthair,Brown Tabby/White,Adoption
A708703,Lacey,,Dog,Spayed Female,3 years,Chihuahua Shorthair/Dachshund,Yellow,Adoption
A704401,Jenny Lind,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,Transfer
A692323,,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black,Transfer
A696054,Cha-Chi,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan,Return_to_owner
A669221,Mac,,Dog,Neutered Male,3 years,Pit Bull Mix,Tricolor/Brown,Return_to_owner
A705151,Nana,,Dog,Spayed Female,3 years,German Shepherd Mix,Black/Brown,Return_to_owner
A717791,Giselle,Partner,Dog,Intact Female,1 year,Basenji Mix,Tricolor,Transfer
A705636,Packard,Partner,Dog,Unknown,6 months,Boxer Mix,Black,Transfer
A714266,,,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Tan,Adoption
A646262,Josephina,,Dog,Spayed Female,3 years,Labrador Retriever/German Shepherd,Black/White,Return_to_owner
A704805,,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby,Transfer
A709371,Abby,Partner,Dog,Spayed Female,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan,Transfer
A717421,Iggy,,Dog,Spayed Female,1 year,Rat Terrier Mix,Black/Tan,Adoption
A548276,Lillian,,Dog,Spayed Female,8 years,Cocker Spaniel,Buff,Return_to_owner
A666455,,Partner,Dog,Neutered Male,4 months,Dachshund/Bloodhound,Brown/White,Transfer
A711950,,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Tortie,Transfer
A653602,Matilda,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue,Adoption
A682590,Rex,,Dog,Neutered Male,1 year,Mastiff/Boxer,Tan/White,Adoption
A663257,Fay,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Adoption
A706831,,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,Adoption
A702193,,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby,Transfer
A665325,,Partner,Dog,Intact Female,3 months,Pit Bull Mix,Black/White,Transfer
A708208,,,Dog,Spayed Female,5 months,Cardigan Welsh Corgi Mix,Tricolor/Black,Adoption
A708400,,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White,Adoption
A674900,,Partner,Cat,Unknown,3 days,Domestic Shorthair Mix,Black,Transfer
A703495,Georgie,,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Cream Tabby,Adoption
A706422,,Suffering,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie,Euthanasia
A650891,George,,Dog,Neutered Male,3 years,Cocker Spaniel Mix,White/Red,Return_to_owner
A708512,Nitzia,Partner,Dog,Spayed Female,5 years,Chinese Sharpei Mix,Tan,Transfer
A715752,Jenni,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,Adoption
A670881,,,Dog,Neutered Male,6 years,Bichon Frise Mix,White,Adoption
A707904,Loomi,,Dog,Spayed Female,10 months,Rat Terrier Mix,Black/Brown,Adoption
A702505,,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico,Transfer
A704675,Annie,Foster,Dog,Spayed Female,3 months,Dachshund Wirehair/Miniature Poodle,Black/Tan,Adoption
A514866,Tiny,,Dog,Neutered Male,7 years,Rat Terrier Mix,White/Black,Return_to_owner
A697339,,,Dog,Spayed Female,1 month,German Shepherd/Pit Bull,Brown,Adoption
A706878,Favor,,Dog,Neutered Male,3 years,Shih Tzu Mix,Brown,Return_to_owner
A662609,Suzy,,Dog,Spayed Female,4 years,Labrador Retriever Mix,Black,Adoption
A686524,,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A701390,,,Dog,Spayed Female,4 months,Toy Fox Terrier/Dachshund,Red/White,Adoption
A679185,,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,White/Black,Transfer
A702396,,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby,Transfer
A711545,Misty,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby,Adoption
A664624,Smurfy,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,Adoption
A668689,Mercedes,,Dog,Spayed Female,6 months,German Shepherd Mix,Sable,Adoption
A678116,,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Tortie,Transfer
A667998,Ginger,Foster,Dog,Spayed Female,5 years,Pit Bull Mix,Brown/White,Adoption
A705294,,Partner,Dog,Intact Female,4 years,Chihuahua Longhair Mix,Red,Transfer
A701509,Charlie,Partner,Cat,Intact Male,1 year,Domestic Medium Hair Mix,Brown Tabby,Transfer
A701437,Hamburger,Partner,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Black Brindle/White,Transfer
A670612,Sheila,,Dog,Intact Female,4 years,Beagle,Orange/White,Return_to_owner
A694562,,Partner,Cat,Intact Female,6 days,Domestic Shorthair Mix,Black,Transfer
A711409,,Partner,Cat,Intact Female,10 months,Domestic Shorthair Mix,Blue/White,Transfer
A688744,Sandy,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair/Dachshund,Tan/White,Transfer
A719452,Franklin,Partner,Dog,Neutered Male,5 years,Pomeranian,Black/White,Transfer
A711517,,Partner,Dog,Intact Female,3 months,Australian Kelpie Mix,Tan/Tan,Transfer
A685572,Sissy,Suffering,Cat,Unknown,13 years,Domestic Shorthair Mix,Black,Euthanasia
A686391,Buddy,,Dog,Intact Male,2 years,Miniature Poodle Mix,Brown,Return_to_owner
A665228,Guthrie,Partner,Dog,Neutered Male,7 months,Labrador Retriever Mix,Yellow,Transfer
A678770,Des,,Dog,Spayed Female,1 year,Catahoula Mix,Brown Merle,Adoption
A704324,Hobo,,Dog,Neutered Male,12 years,Chinese Sharpei Mix,Brown,Return_to_owner
A696273,,,Dog,Spayed Female,3 months,Boxer/Pit Bull,Brown/White,Adoption
A718068,Sadie,Partner,Dog,Intact Female,4 months,Pit Bull Mix,Sable/White,Transfer
A703568,Pickles,,Dog,Spayed Female,2 years,Dachshund/Labrador Retriever,Brown,Adoption
A694402,Peluchin,,Dog,Neutered Male,2 years,Toy Poodle Mix,Buff,Adoption
A701210,Charlie,,Dog,Neutered Male,2 years,Australian Kelpie Mix,Red,Adoption
A684437,Macaroni,Foster,Dog,Neutered Male,2 months,Miniature Schnauzer/Miniature Poodle,White/Buff,Adoption
A698060,Iris,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Blue Tabby,Adoption
A690035,,Partner,Dog,Neutered Male,6 months,Boxer Mix,Brown Brindle/White,Transfer
A709281,Erika,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,Adoption
A690789,Odin,,Dog,Neutered Male,2 years,Siberian Husky Mix,Brown/White,Adoption
A672907,Gizzard,,Dog,Neutered Male,5 months,Australian Cattle Dog/Labrador Retriever,Red Merle/White,Return_to_owner
A564751,Pinta,Partner,Cat,Spayed Female,6 years,Domestic Shorthair Mix,White/Black,Transfer
A671350,Isis,,Dog,Spayed Female,2 years,Pit Bull Mix,Tan/White,Adoption
A683042,,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A682473,,,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Black/White,Adoption
A712392,,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Blue Tabby,Adoption
A716664,Armen,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby,Adoption
A690489,Thurston,,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White,Adoption
A720168,Rocky,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Black/Tan,Return_to_owner
A681388,Blue,Aggressive,Dog,Intact Male,1 year,Pit Bull Mix,Brown Brindle/White,Euthanasia
A714077,Bella,,Dog,Spayed Female,5 months,Dachshund/Chihuahua Shorthair,Brown/White,Adoption
A673658,,,Dog,Spayed Female,4 months,Australian Shepherd Mix,Black/White,Adoption
A704365,Hannah Blue,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,White/Blue Tabby,Adoption
A705575,Simon,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby,Transfer
A680426,Lyla,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Yellow,Return_to_owner
A712818,,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Orange Tabby,Transfer
A670198,Juicy,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White,Return_to_owner
A719768,Annabelle,Partner,Dog,Spayed Female,1 year,Flat Coat Retriever Mix,Black,Transfer
A711878,Jake,Partner,Dog,Neutered Male,4 years,Labrador Retriever Mix,Black/White,Transfer
A719776,Daphne,Partner,Dog,Spayed Female,6 years,Beagle Mix,Tricolor,Transfer
A709656,Scrappy,,Dog,Neutered Male,6 months,Pit Bull Mix,Black/White,Return_to_owner
A664359,Lula Belle,,Dog,Spayed Female,2 years,Australian Cattle Dog/Border Collie,White/Tricolor,Adoption
A709507,,Partner,Dog,Spayed Female,1 year,Labrador Retriever Mix,Yellow,Transfer
A712536,,,Dog,Spayed Female,6 months,Labrador Retriever Mix,Black,Adoption
A665343,,Partner,Dog,Intact Male,4 months,Dachshund Mix,Red,Transfer
A716897,Lucy,,Dog,Spayed Female,1 year,Great Pyrenees Mix,White,Adoption
A709811,Eli,Partner,Dog,Intact Male,3 years,Pug,Black/White,Transfer
A680311,Mountainman,Offsite,Dog,Neutered Male,2 months,Australian Kelpie Mix,Chocolate/White,Adoption
A708524,,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A697322,Ralph,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby/White,Adoption
A668386,Snickers,Partner,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby,Transfer
A671201,Pablito,,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Tricolor,Return_to_owner
A674001,Melody,Foster,Dog,Spayed Female,1 year,Chihuahua Shorthair/Rat Terrier,Brown/Black,Adoption
A718660,Mantequilla,,Dog,Neutered Male,3 years,Labrador Retriever Mix,White,Adoption
A529890,Vegas,Aggressive,Dog,Intact Male,9 years,Pit Bull,Blue/White,Euthanasia
A708459,,,Dog,Spayed Female,7 months,Chihuahua Shorthair/Welsh Terrier,Black/Brown,Adoption
A700765,Mia,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,Adoption
A683817,Marvin,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby/White,Transfer
A701813,Papa,,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Black,Return_to_owner
A714466,Sam,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,Adoption
A705100,Harriet,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A666664,Beau,Partner,Dog,Intact Male,8 years,Chihuahua Shorthair Mix,Red/Cream,Transfer
A669281,Joanna,,Dog,Spayed Female,2 months,Black Mouth Cur Mix,Buff,Return_to_owner
A694909,Cookie,Suffering,Dog,Spayed Female,10 years,Chihuahua Shorthair Mix,Tan/White,Euthanasia
A680319,,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A679047,,Partner,Cat,Intact Female,4 days,Domestic Shorthair Mix,Calico,Transfer
A711475,Picasso,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Tortie,Adoption
A720940,Justin,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White,Adoption
A693794,,Foster,Dog,Spayed Female,1 month,Labrador Retriever Mix,Brown/Red Tick,Adoption
A682789,Crosby,,Dog,Spayed Female,2 years,Queensland Heeler Mix,Black/White,Adoption
A678876,,,Dog,Neutered Male,3 months,Rhod Ridgeback/Labrador Retriever,Tan/Black,Adoption
A687430,,Partner,Dog,Neutered Male,6 months,German Shepherd/Labrador Retriever,Black,Transfer
A708143,Sawyer,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,Adoption
A679838,Stitch,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue/White,Adoption
A691059,Trevor,,Dog,Intact Male,3 years,Labrador Retriever Mix,Black,Return_to_owner
A672057,Dottie,,Dog,Spayed Female,2 years,Miniature Poodle Mix,Apricot,Return_to_owner
A706332,Cottontail,Offsite,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,Adoption
A714295,Chief,,Dog,Neutered Male,2 years,Rat Terrier Mix,White/Brown,Adoption
